Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Fluffer,Warm-up Boulders Main > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106657480/fluffer,2.3,2,Boulder,V2-,1,15,36.15949,-115.41688
[Redacted] TTWP,Hot Tub Club > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107407188/redacted,3,-1,Boulder,V6,1,12,36.15988,-115.41296
Potato Chips Low,Potato Chip > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114236573/potato-chips-low,2.6,-1,Boulder,V3+,1,13,36.15937,-115.41662
Black Warm-up,Black Warm-up North > Black Warm Up Boulders > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107003134/black-warm-up,2.1,-1,"Trad, Boulder",V-easy,1,,36.15945,-115.41749
Equinox,The Sundial > Main Cluster > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/111545775/equinox,2.9,3,Boulder,V6,1,8,36.14331,-115.42035
Dog Leash Boy,Hot Tub Club > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/108021688/dog-leash-boy,2.9,-1,Boulder,V2,1,20,36.15988,-115.41296
Fear of a Black Hat,The Cube > (02) Cube Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107004045/fear-of-a-black-hat,3.9,-1,Boulder,V9,1,,36.15974,-115.41913
Blood Trails,Blood Trails > (10) Oak Creek Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/111196506/blood-trails,3.7,-1,Boulder,V5,1,15,36.10806,-115.47918
Brown Round Crack,Big Brown Boulder (aka Brown Round) > (06) Willow Springs Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107158760/brown-round-crack,2.9,-1,Boulder,V3,1,13,36.16069,-115.49781
Orange Top Blue Sky,Hot Tub Club > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106657510/orange-top-blue-sky,3.4,-1,Boulder,V8,1,30,36.15988,-115.41296
In Our Time,In Our Time Boulder > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116493303/in-our-time,3.4,-1,Boulder,V8-,1,15,36.03605,-115.46476
Cirque Du Soleil,Cirque Du Soleil Boulder > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116499097/cirque-du-soleil,3.6,4,Boulder,V3,1,10,36.14772,-115.42337
Pearl Necklace,The Pearl > (04) The Pearl Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107444907/pearl-necklace,3,-1,Boulder,V6-,1,,36.15924,-115.41487
Wald Face,Potato Chip > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/108731193/wald-face,2.5,-1,Boulder,V2,1,12,36.15937,-115.41662
The Prowler,The Prowler Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/116107567/the-prowler,3,3,Boulder,V5,1,,36.15979,-115.41618
I Disagree,Bill's Boulder > (05) East Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106657499/i-disagree,2.2,-1,Boulder,V1,1,12,36.15982,-115.41316
Big Jugs,Warm-Up Boulder Two > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106732680/big-jugs,2.6,-1,Boulder,V0,1,10,36.15928,-115.4147
Freedom Fighter,Twin Towers > (14) Black Velvet Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/112561007/freedom-fighter,3.2,-1,Boulder,V5,1,,36.03589,-115.45909
The High Road,Red Spring (aka Turtle Shell) Boulder > Main Cluster > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107948839/the-high-road,3.1,4,Boulder,V7,1,25,36.1434,-115.42008
Van Betten Arête,Van Betten Boulder > (02) Cube Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114239666/van-betten-arete,3.2,-1,Boulder,V3,1,10,36.16001,-115.41946
The Prayer,Tsunami Boulder > Red Spring Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107453251/the-prayer,3.4,-1,Boulder,V6,1,15,36.14773,-115.42215
Le Cheval,Le Cheval > (15) Windy Canyon Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/108071132/le-cheval,3.4,-1,Boulder,V2,1,15,36.0141,-115.4615
Southeast Face,The Butt Crack Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/107430262/southeast-face,2.3,-1,Boulder,V3,1,10,36.1595,-115.4167
Perked Up,Warm-Up Boulder Two > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/106732670/perked-up,2.6,-1,Boulder,V2+,1,10,36.15928,-115.4147
Memento Mori,Memento Mori boulder > Gateway Canyon Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114279975/memento-mori,3.8,-1,Boulder,V4,1,,36.16375,-115.41273
Split Decision,The Split Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/110174865/split-decision,2.7,-1,Boulder,V1,1,,36.15993,-115.41713
Shady Lady,Shady Lady Boulder > (03) Main Area > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/110224268/shady-lady,3.3,-1,Boulder,V2,1,20,36.16001,-115.41766
Spittin' Venom,Venom Boulder > (01) West Cluster > Kraft Boulders > (01) Calico Basin Boulders > Red Rock Boulders > Southern Nevada > Nevada,https://www.mountainproject.com/route/114200319/spittin-venom,2.6,-1,Boulder,V8,1,15,36.1611,-115.4238
